sale_date,listing_id,units_sold,seller_id,price,rating,in_stock,category,revenue
2025-01-05,760,2,283,80.7,3.81,1,Electronics,161.4
2025-08-16,1605,2,145,6.0,4.11,1,Toys,12.0
2025-02-03,1789,1,194,34.71,3.53,1,Home,34.71
2025-02-11,1123,3,63,12.61,3.75,1,Sports,37.83
2025-01-05,1064,1,91,65.25,4.29,1,Sports,65.25
2025-12-05,465,3,91,69.13,4.63,1,Electronics,279.98
2025-07-26,1105,1,145,26.16,4.42,1,Toys,26.16
2025-05-26,245,1,126,28.41,4.08,1,Home,28.41
2025-06-25,775,2,176,27.3,3.93,1,Home,54.6
2025-05-19,840,3,72,27.37,4.62,1,Electronics,110.85
2025-08-02,113,2,250,45.45,4.33,1,Electronics,90.9
2025-04-18,1201,3,181,35.08,3.83,1,Electronics,105.24
2025-01-05,603,3,292,50.21,4.51,1,Beauty,203.35
2025-06-05,1724,2,224,72.53,3.88,1,Beauty,145.06
2025-03-04,1462,3,96,18.39,4.16,1,Toys,55.17
2025-08-02,1152,1,191,42.3,3.86,1,Electronics,42.3
2025-08-28,720,1,139,36.78,4.61,1,Beauty,49.65
2025-08-17,595,2,181,48.42,4.04,1,Beauty,96.84
2025-04-27,917,1,298,6.0,5.0,1,Home,8.1
2025-07-24,1689,3,224,63.98,3.53,1,Beauty,191.94
2025-07-22,402,1,264,68.53,4.69,1,Home,92.52
2025-04-11,1524,2,305,51.66,3.81,1,Sports,103.32
2025-12-10,1047,1,284,46.25,4.5,0,Home,0.0
2025-11-04,1570,3,285,35.24,4.42,1,Electronics,105.72
2025-07-16,277,1,12,13.59,4.56,1,Sports,18.35
2025-07-09,388,1,276,8.61,3.44,0,Toys,0.0
2025-05-29,1667,1,54,25.64,3.79,1,Toys,25.64
2025-12-28,386,2,9,58.79,4.36,1,Home,117.58
2025-01-24,464,3,57,40.77,4.04,1,Sports,122.31
2025-08-29,704,2,294,52.27,4.88,1,Home,141.13
2025-11-12,1304,3,318,20.23,4.1,1,Beauty,60.69
2025-08-31,786,3,231,12.85,3.54,1,Sports,38.55
2025-07-31,41,1,125,77.37,4.67,1,Toys,104.45
2025-12-07,953,2,11,41.19,3.07,1,Beauty,82.38
2025-12-27,274,1,230,52.54,4.26,1,Sports,52.54
2025-05-13,1245,1,114,18.7,3.74,1,Electronics,18.7
2025-01-17,613,2,167,39.42,4.85,1,Home,106.43
2025-07-24,616,3,168,13.74,4.44,1,Beauty,41.22
2025-10-08,1296,2,131,32.68,4.53,1,Beauty,88.24
2025-09-25,1409,3,73,23.21,3.94,1,Beauty,69.63
2025-08-26,1154,1,90,14.71,4.46,1,Toys,14.71
2025-09-29,1465,3,230,16.89,4.47,1,Home,50.67
2025-09-13,716,3,223,10.4,3.57,1,Beauty,31.2
2025-09-28,900,3,7,62.24,5.0,1,Home,252.07
2025-12-31,1490,2,262,22.72,4.26,1,Electronics,45.44
2025-10-27,707,1,114,45.16,4.59,1,Sports,60.97
2025-04-02,712,2,153,73.74,3.71,1,Sports,147.48
2025-02-03,724,2,269,88.01,3.88,1,Home,176.02
2025-12-14,1336,2,302,36.6,5.0,1,Toys,98.82
2025-06-04,24,2,175,20.43,3.79,1,Sports,40.86
2025-09-20,1097,3,100,19.14,3.51,1,Sports,57.42
2025-06-14,1569,3,259,57.35,4.43,1,Beauty,172.05
2025-07-21,443,2,159,13.24,5.0,1,Home,35.75
2025-05-12,1353,1,199,25.33,3.74,1,Toys,25.33
2025-12-30,1569,3,259,57.35,4.43,1,Beauty,172.05
2025-02-09,3,3,45,32.68,4.46,1,Toys,98.04
2025-07-09,212,1,278,33.93,5.0,1,Home,45.81
2025-10-17,768,2,276,35.18,4.18,1,Toys,70.36
2025-08-24,345,3,158,11.46,4.55,1,Beauty,46.41
2025-01-02,1212,1,99,15.07,4.28,1,Electronics,15.07
2025-08-14,1018,1,286,22.19,4.61,1,Beauty,29.96
2025-01-11,336,2,186,6.3,2.99,1,Toys,12.6
2025-01-16,882,2,46,30.08,4.8,1,Electronics,81.22
2025-07-15,387,2,208,38.69,4.12,1,Toys,77.38
2025-06-21,1154,3,90,14.71,4.46,1,Toys,44.13
2025-03-24,1752,1,73,54.07,3.6,0,Toys,0.0
2025-04-11,526,1,127,12.71,4.06,1,Home,12.71
2025-05-24,328,1,113,24.68,4.38,1,Home,24.68
2025-05-27,194,3,256,28.17,5.0,1,Sports,114.09
2025-09-05,1260,1,222,38.75,4.21,1,Sports,38.75
2025-02-19,374,2,144,34.21,4.4,1,Home,68.42
2025-09-17,323,1,314,29.56,4.81,1,Home,39.91
2025-06-30,913,3,149,42.53,4.36,0,Home,0.0
2025-08-13,541,1,214,40.94,3.98,1,Beauty,40.94
2025-02-22,1388,1,234,68.9,4.12,1,Toys,68.9
2025-05-13,754,3,258,16.61,4.16,1,Sports,49.83
2025-04-17,1724,2,224,72.53,3.88,1,Beauty,145.06
2025-06-07,1255,3,227,28.93,5.0,1,Electronics,117.17
2025-01-05,1788,1,278,85.05,3.92,1,Electronics,85.05
2025-08-04,1370,1,95,38.01,4.08,1,Beauty,38.01
2025-09-05,64,2,73,63.85,4.07,0,Beauty,0.0
2025-10-22,72,1,175,8.49,4.03,1,Beauty,8.49
2025-12-20,340,1,223,86.27,4.53,1,Sports,116.46
2025-04-30,1680,2,112,51.21,3.22,1,Electronics,102.42
2025-01-14,1265,2,134,10.64,4.25,1,Sports,21.28
2025-12-10,783,2,281,65.5,4.33,1,Toys,131.0
2025-12-03,1170,1,10,55.98,4.17,1,Toys,55.98
2025-09-03,1528,3,56,27.94,4.44,1,Electronics,83.82
2025-01-30,1728,2,109,31.73,3.37,1,Sports,63.46
2025-12-01,652,3,3,39.54,4.1,1,Home,118.62
2025-08-10,1599,1,91,42.53,3.9,1,Sports,42.53
2025-04-27,371,2,195,43.91,4.21,1,Beauty,87.82
2025-04-11,1132,2,41,34.34,2.98,1,Beauty,68.68
2025-02-19,336,3,186,6.3,2.99,1,Toys,18.9
2025-02-27,379,3,134,35.51,3.7,1,Home,106.53
2025-05-03,1633,2,71,61.13,3.83,1,Electronics,122.26
2025-09-11,477,2,203,46.17,4.47,1,Beauty,92.34
2025-03-22,965,3,81,27.6,3.97,1,Beauty,82.8
2025-06-12,1431,2,195,36.08,4.48,1,Electronics,72.16
2025-06-04,330,2,269,85.47,4.89,1,Beauty,230.77
2025-04-14,1128,3,14,55.78,3.47,1,Home,167.34
2025-05-09,1516,3,84,42.74,3.36,1,Home,128.22
2025-10-05,1493,2,145,50.11,4.07,1,Home,100.22
2025-01-23,284,2,136,29.8,4.16,1,Home,59.6
2025-04-27,294,2,101,30.46,4.22,0,Home,0.0
2025-08-10,127,1,52,6.0,4.43,1,Beauty,6.0
2025-10-28,953,1,11,41.19,3.07,1,Beauty,41.19
2025-07-05,1088,3,298,92.69,4.62,1,Electronics,375.39
2025-08-02,1494,3,48,21.64,4.92,1,Toys,87.64
2025-10-13,1346,1,59,57.06,4.26,1,Electronics,57.06
2025-09-15,987,1,239,70.36,4.85,1,Home,94.99
2025-12-06,664,1,247,103.47,4.63,1,Home,139.68
2025-05-17,190,1,188,41.02,4.37,1,Toys,41.02
2025-08-12,1544,2,249,21.03,4.29,1,Sports,42.06
2025-05-28,434,2,61,82.03,4.38,1,Home,164.06
2025-07-15,1370,3,95,38.01,4.08,1,Beauty,114.03
2025-10-10,291,2,223,62.6,3.89,1,Sports,125.2
2025-09-11,1317,1,237,34.3,3.62,0,Beauty,0.0
2025-06-17,386,3,9,58.79,4.36,1,Home,176.37
2025-02-03,663,2,312,55.12,4.24,0,Electronics,0.0
2025-11-10,895,2,167,37.47,3.84,1,Electronics,74.94
2025-03-26,158,1,1,90.54,5.0,1,Home,122.23
2025-11-16,1215,3,113,26.44,4.88,1,Beauty,107.08
2025-11-23,1528,2,56,27.94,4.44,1,Electronics,55.88
2025-04-23,1339,2,265,41.87,4.52,1,Sports,113.05
2025-06-10,696,1,205,51.61,4.34,1,Sports,51.61
2025-02-09,1013,3,5,27.6,4.6,1,Sports,111.78
2025-01-30,1176,2,212,47.09,3.96,1,Beauty,94.18
2025-06-22,1652,2,4,41.93,4.16,1,Beauty,83.86
2025-01-23,550,3,104,46.73,4.17,1,Electronics,140.19
2025-11-11,1187,3,23,78.35,4.61,1,Beauty,317.32
2025-02-09,828,3,160,70.28,4.96,1,Sports,284.63
2025-04-16,694,1,213,51.71,3.13,1,Sports,51.71
2025-03-18,1619,2,69,34.59,4.08,1,Electronics,69.18
2025-05-31,1717,2,233,9.73,5.0,1,Beauty,26.27
2025-01-07,130,2,138,27.98,2.95,1,Sports,55.96
2025-03-28,1589,2,276,7.69,4.54,1,Toys,20.76
2025-11-24,721,1,274,42.64,4.63,1,Home,57.56
2025-02-07,818,3,234,7.47,3.67,1,Home,22.41
2025-04-20,462,3,8,47.4,4.28,1,Electronics,142.2
2025-08-02,1138,2,282,65.03,4.28,1,Sports,130.06
2025-10-21,787,3,83,65.41,3.42,1,Electronics,196.23
2025-04-15,824,3,214,13.01,3.86,1,Sports,39.03
2025-10-24,1268,3,248,31.07,4.13,1,Sports,93.21
2025-05-31,110,2,222,40.06,4.2,0,Electronics,0.0
2025-02-13,915,2,263,25.88,4.55,1,Toys,69.88
2025-12-13,113,3,250,45.45,4.33,1,Electronics,136.35
2025-08-12,1225,2,285,45.74,3.79,1,Home,91.48
2025-03-11,624,3,19,58.73,4.74,1,Home,237.86
2025-09-21,732,1,26,16.11,3.68,1,Electronics,16.11
2025-12-03,492,2,23,90.59,4.05,1,Home,181.18
2025-02-04,845,2,225,51.85,4.5,1,Electronics,140.0
2025-12-08,988,1,157,31.27,4.81,1,Sports,42.21
2025-10-24,1075,3,127,55.27,4.21,0,Toys,0.0
2025-01-21,1440,2,200,6.0,4.99,0,Home,0.0
2025-05-16,688,2,248,31.07,4.9,1,Sports,83.89
2025-05-17,1239,3,97,6.0,4.34,1,Sports,18.0
2025-05-18,637,3,9,6.0,3.44,1,Beauty,18.0
2025-12-14,923,3,154,73.71,3.4,1,Beauty,221.13
2025-12-24,1370,2,95,38.01,4.08,1,Beauty,76.02
2025-10-01,1744,3,98,57.64,4.95,1,Toys,233.44
2025-05-02,967,3,143,44.43,3.96,1,Toys,133.29
2025-06-26,1646,3,63,61.01,4.1,1,Sports,183.03
2025-10-18,735,1,150,67.11,3.86,1,Beauty,67.11
2025-06-27,643,2,283,38.73,4.26,1,Sports,77.46
2025-01-25,195,3,206,6.0,4.68,1,Toys,24.3
2025-04-27,920,1,198,48.36,3.44,1,Home,48.36
2025-09-20,1238,3,210,20.41,3.93,1,Electronics,61.23
2025-11-02,362,3,144,80.08,4.51,1,Toys,324.32
2025-04-29,1368,1,153,6.0,4.36,0,Beauty,0.0
2025-11-06,1179,2,180,56.5,4.14,1,Electronics,113.0
2025-04-23,498,2,169,59.85,4.8,1,Home,161.6
2025-06-17,1127,3,73,20.71,3.71,1,Sports,62.13
2025-04-15,1308,1,203,71.63,4.35,1,Toys,71.63
2025-07-18,1236,3,114,39.08,3.98,1,Electronics,117.24
2025-02-27,1505,2,54,57.51,3.73,1,Electronics,115.02
2025-06-20,788,3,120,33.07,4.62,1,Electronics,133.93
2025-07-11,1247,1,159,59.12,4.56,1,Home,79.81
2025-05-16,11,2,62,23.55,3.6,1,Toys,47.1
2025-07-15,1420,1,26,44.86,4.08,1,Sports,44.86
2025-03-14,6,1,176,20.63,3.79,0,Home,0.0
2025-08-02,1144,2,133,30.78,4.23,0,Home,0.0
2025-12-01,1371,2,127,10.54,4.81,1,Beauty,28.46
2025-01-28,555,1,253,88.59,3.82,1,Sports,88.59
2025-04-18,922,1,263,13.42,3.79,0,Sports,0.0
2025-12-07,193,3,137,68.58,3.93,1,Electronics,205.74
2025-10-22,1034,1,222,61.68,3.73,1,Toys,61.68
2025-09-14,1399,1,280,8.73,4.35,1,Toys,8.73
2025-04-21,1430,2,149,32.75,4.89,1,Toys,88.43
2025-06-11,1688,2,68,36.57,4.35,1,Toys,73.14
2025-08-18,387,1,208,38.69,4.12,1,Toys,38.69
2025-01-28,1069,3,49,28.23,4.6,1,Electronics,114.33
2025-01-15,1440,3,200,6.0,4.99,0,Home,0.0
2025-03-26,1578,3,273,50.89,3.31,1,Sports,152.67
2025-04-02,1691,3,293,13.51,4.19,1,Sports,40.53
2025-09-02,255,3,36,43.9,4.53,1,Toys,177.8
2025-04-14,1508,2,25,69.58,3.67,0,Toys,0.0
2025-09-07,1047,3,284,46.25,4.5,0,Home,0.0
2025-05-04,115,2,179,30.61,4.11,1,Electronics,61.22
2025-01-09,97,1,82,56.82,4.69,0,Home,0.0
2025-04-13,272,2,15,48.51,4.47,1,Electronics,97.02
2025-06-01,116,2,275,41.14,4.53,1,Home,111.08
2025-11-02,1478,2,265,25.63,4.37,1,Electronics,51.26
2025-07-18,291,2,223,62.6,3.89,1,Sports,125.2
2025-06-03,1166,2,261,6.0,3.66,1,Electronics,12.0
2025-05-16,1072,2,118,47.92,3.98,1,Beauty,95.84
2025-12-31,213,2,10,46.33,4.59,1,Home,125.09
2025-09-06,1571,2,177,60.05,3.77,0,Beauty,0.0
2025-05-22,1256,2,116,31.88,3.97,1,Sports,63.76
2025-03-16,1537,3,73,44.39,3.71,0,Home,0.0
2025-12-04,946,1,284,27.06,4.1,1,Electronics,27.06
2025-05-05,743,3,111,70.18,4.16,0,Sports,0.0
2025-03-29,1432,3,54,53.12,4.31,0,Toys,0.0
2025-05-03,159,1,22,29.31,4.55,1,Beauty,39.57
2025-01-13,1317,1,237,34.3,3.62,0,Beauty,0.0
2025-09-27,1280,1,61,61.29,4.61,1,Beauty,82.74
2025-01-10,77,2,170,23.48,4.71,1,Home,63.4
2025-05-01,1353,1,199,25.33,3.74,1,Toys,25.33
2025-04-26,1342,2,82,34.43,4.46,1,Sports,68.86
2025-12-15,957,1,118,79.18,4.78,1,Electronics,106.89
2025-07-25,232,3,140,27.44,4.57,1,Home,111.13
2025-09-23,1408,1,144,61.79,4.03,1,Beauty,61.79
2025-02-11,735,1,150,67.11,3.86,1,Beauty,67.11
2025-02-28,406,1,73,47.51,4.23,1,Sports,47.51
2025-11-06,1406,3,289,70.83,3.63,1,Electronics,212.49
2025-12-29,122,2,77,61.14,4.63,1,Home,165.08
2025-12-06,1020,1,276,42.38,3.77,1,Home,42.38
2025-06-04,1391,1,165,46.44,4.97,1,Home,62.69
2025-04-19,756,1,159,47.78,3.99,1,Home,47.78
2025-01-07,1220,3,83,53.42,4.47,1,Sports,160.26
2025-04-28,406,2,73,47.51,4.23,1,Sports,95.02
2025-03-19,294,1,101,30.46,4.22,0,Home,0.0
2025-02-08,290,1,292,75.05,3.75,1,Beauty,75.05
2025-10-19,48,3,110,46.6,4.16,0,Beauty,0.0
2025-09-05,1200,3,117,6.0,4.15,1,Beauty,18.0
2025-06-18,34,2,310,14.5,3.78,1,Sports,29.0
2025-07-25,1266,3,4,28.49,4.99,1,Electronics,115.38
2025-04-18,403,2,172,30.93,3.23,1,Sports,61.86
2025-08-16,1438,1,152,25.69,4.91,1,Home,34.68
2025-02-23,710,1,98,25.71,4.26,1,Home,25.71
2025-11-18,1378,1,25,24.05,4.19,1,Beauty,24.05
2025-07-04,1244,1,266,49.57,3.62,1,Beauty,49.57
2025-04-08,1465,3,230,16.89,4.47,1,Home,50.67
2025-01-30,1552,1,91,46.1,4.37,1,Sports,46.1
2025-12-09,952,3,2,49.92,4.74,1,Toys,202.18
2025-09-02,1666,3,74,20.76,3.7,1,Toys,62.28
2025-11-10,1696,3,18,68.25,5.0,0,Toys,0.0
2025-07-05,279,2,84,19.21,4.69,0,Beauty,0.0
2025-08-16,1396,1,306,54.07,4.43,1,Sports,54.07
2025-03-18,669,3,283,59.06,4.01,1,Sports,177.18
2025-07-28,14,1,200,32.91,4.36,1,Home,32.91
2025-08-13,655,2,59,23.44,5.0,1,Electronics,63.29
2025-11-06,1002,3,95,61.34,5.0,0,Electronics,0.0
2025-11-24,705,2,255,39.87,4.16,1,Home,79.74
2025-07-22,769,1,30,62.55,3.85,1,Home,62.55
2025-02-17,743,1,111,70.18,4.16,0,Sports,0.0
2025-05-16,1452,2,115,56.16,3.66,1,Toys,112.32
2025-09-22,1486,2,56,26.06,4.26,1,Electronics,52.12
2025-11-20,937,1,147,31.32,4.16,1,Electronics,31.32
2025-06-13,1468,3,294,27.91,3.99,1,Toys,83.73
2025-12-22,344,2,71,25.56,4.2,1,Sports,51.12
2025-01-03,325,1,316,71.76,4.46,1,Electronics,71.76
2025-10-26,1132,1,41,34.34,2.98,1,Beauty,34.34
2025-12-18,1426,1,176,60.37,3.25,1,Home,60.37
2025-08-11,1474,1,127,62.13,3.12,1,Electronics,62.13
2025-09-05,373,1,301,31.87,4.28,0,Home,0.0
2025-11-03,65,1,244,56.96,3.92,0,Home,0.0
2025-07-19,493,3,129,19.2,3.97,1,Beauty,57.6
2025-09-19,1176,1,212,47.09,3.96,1,Beauty,47.09
2025-04-13,1676,1,268,6.0,4.38,1,Toys,6.0
2025-06-06,95,1,100,6.0,4.2,1,Electronics,6.0
2025-10-02,1489,1,18,31.15,3.66,1,Toys,31.15
2025-07-26,204,2,186,24.69,4.98,1,Beauty,66.66
2025-09-06,1776,3,250,38.66,4.06,1,Beauty,115.98
2025-07-31,794,3,49,6.0,4.11,1,Electronics,18.0
2025-04-08,298,1,179,38.26,4.33,1,Home,38.26
2025-05-28,1302,2,249,80.55,4.15,0,Sports,0.0
2025-11-19,1658,3,255,82.18,4.02,1,Electronics,246.54
2025-06-10,1592,2,223,24.84,3.75,1,Sports,49.68
2025-08-03,548,1,252,39.61,3.81,1,Sports,39.61
2025-04-30,868,3,208,33.2,3.86,0,Electronics,0.0
2025-12-30,835,1,137,33.63,4.55,0,Home,0.0
2025-01-22,61,1,147,46.18,4.19,0,Sports,0.0
2025-05-13,895,1,167,37.47,3.84,1,Electronics,37.47
2025-08-29,1199,1,22,27.85,3.64,1,Sports,27.85
2025-02-22,1737,2,288,40.0,5.0,1,Toys,108.0
2025-05-10,139,3,97,30.41,5.0,1,Toys,123.16
2025-11-12,1237,1,105,19.63,3.8,1,Electronics,19.63
2025-08-29,751,1,57,59.47,4.75,1,Toys,80.28
2025-03-17,19,3,278,34.48,4.18,1,Electronics,103.44
2025-10-20,1356,2,136,63.01,4.49,1,Toys,126.02
2025-10-23,1487,3,12,39.76,4.59,1,Sports,161.03
2025-10-18,645,2,166,17.79,4.82,1,Electronics,48.03
2025-07-10,530,1,5,6.0,4.38,1,Sports,6.0
2025-10-21,1314,3,31,111.66,4.17,1,Toys,334.98
2025-08-04,1597,3,59,47.49,4.5,1,Electronics,192.33
2025-09-08,757,1,64,26.01,4.29,1,Sports,26.01
2025-02-28,874,1,230,10.49,4.49,1,Home,10.49
2025-12-31,82,2,68,66.31,3.96,1,Beauty,132.62
2025-12-09,1416,3,180,82.4,5.0,0,Toys,0.0
2025-11-01,479,3,78,32.79,4.36,1,Electronics,98.37
2025-08-26,946,2,284,27.06,4.1,1,Electronics,54.12
2025-08-21,75,2,198,32.27,3.91,1,Electronics,64.54
2025-10-18,313,3,247,19.12,4.26,1,Electronics,57.36
2025-04-18,1211,3,27,21.7,4.06,1,Toys,65.1
2025-07-17,1437,3,61,54.47,5.0,1,Beauty,220.6
2025-08-09,55,3,306,12.89,3.63,0,Sports,0.0
2025-06-17,474,3,102,35.78,3.45,1,Toys,107.34
2025-10-13,1549,1,70,33.26,4.34,1,Home,33.26
2025-12-31,506,2,218,101.37,5.0,1,Home,273.7
2025-07-09,1717,2,233,9.73,5.0,1,Beauty,26.27
2025-02-22,1648,1,63,41.37,4.46,1,Home,41.37
2025-10-30,1000,1,65,77.74,3.84,1,Toys,77.74
2025-01-20,130,2,138,27.98,2.95,1,Sports,55.96
2025-03-22,468,3,44,23.72,4.85,1,Sports,96.07
2025-05-14,1695,2,30,27.04,4.26,1,Toys,54.08
2025-04-21,76,2,88,61.6,3.8,1,Toys,123.2
2025-06-30,1013,2,5,27.6,4.6,1,Sports,74.52
2025-09-24,619,1,116,30.2,4.2,0,Electronics,0.0
2025-03-11,450,2,71,14.78,4.31,1,Home,29.56
2025-08-22,1078,1,65,52.0,4.8,1,Sports,70.2
2025-12-01,279,2,84,19.21,4.69,0,Beauty,0.0
2025-11-02,1107,3,237,35.48,4.38,1,Toys,106.44
2025-12-06,1068,3,59,66.11,4.05,1,Toys,198.33
2025-10-10,608,2,136,23.89,4.31,1,Home,47.78
2025-01-23,1781,1,2,36.18,3.69,1,Home,36.18
2025-10-24,678,3,40,24.35,5.0,1,Toys,98.62
2025-02-09,1011,2,173,35.14,4.44,0,Beauty,0.0
2025-01-30,1225,2,285,45.74,3.79,1,Home,91.48
2025-07-09,1409,2,73,23.21,3.94,1,Beauty,46.42
2025-04-06,1159,1,83,32.47,4.61,1,Electronics,43.83
2025-04-12,1217,3,304,21.14,3.9,0,Beauty,0.0
2025-02-06,496,3,207,68.62,4.3,1,Home,205.86
2025-08-28,877,2,215,6.0,3.66,1,Home,12.0
2025-02-26,1602,1,236,29.81,4.12,1,Sports,29.81
2025-08-14,867,1,281,52.7,3.55,0,Home,0.0
2025-09-16,1166,3,261,6.0,3.66,1,Electronics,18.0
2025-08-05,706,2,149,34.71,4.62,0,Electronics,0.0
2025-06-23,1367,2,25,26.6,3.78,1,Beauty,53.2
2025-03-27,1153,1,211,6.0,4.66,1,Electronics,8.1
2025-11-03,1763,2,294,83.04,4.23,1,Electronics,166.08
2025-12-17,1557,1,264,67.41,4.24,1,Home,67.41
2025-02-24,1440,3,200,6.0,4.99,0,Home,0.0
2025-06-13,1338,3,268,37.43,4.02,0,Electronics,0.0
2025-09-28,1095,3,32,38.05,4.75,1,Electronics,154.1
2025-12-24,411,1,304,57.84,3.8,1,Beauty,57.84
2025-11-22,1373,1,123,16.23,5.0,1,Electronics,21.91
2025-02-14,517,2,305,73.56,4.14,1,Toys,147.12
2025-12-19,1689,1,224,63.98,3.53,1,Beauty,63.98
2025-10-14,1626,2,83,20.96,4.04,1,Beauty,41.92
2025-04-11,680,3,95,93.96,4.47,1,Home,281.88
2025-08-28,1181,1,3,34.3,3.81,1,Home,34.3
2025-10-17,1517,3,216,38.9,5.0,1,Electronics,157.54
2025-04-08,1540,2,164,54.18,4.39,1,Toys,108.36
2025-10-02,594,1,41,32.17,3.93,1,Beauty,32.17
2025-08-11,1717,2,233,9.73,5.0,1,Beauty,26.27
2025-09-04,1055,2,170,26.92,4.62,1,Home,72.68
2025-04-27,772,1,61,82.02,4.21,1,Beauty,82.02
2025-03-17,806,3,211,64.64,3.96,1,Toys,193.92
2025-11-15,1785,2,56,20.86,4.63,1,Sports,56.32
2025-04-21,738,2,174,32.16,3.26,1,Toys,64.32
2025-12-01,786,2,231,12.85,3.54,1,Sports,25.7
2025-03-18,449,3,138,31.97,4.57,1,Home,129.48
2025-05-13,827,2,207,59.76,4.08,0,Sports,0.0
2025-10-19,1115,2,295,39.35,4.32,1,Electronics,78.7
2025-06-26,733,1,227,47.97,4.34,1,Beauty,47.97
2025-01-02,1701,3,282,24.82,4.54,0,Beauty,0.0
2025-11-27,870,3,116,59.76,4.38,0,Beauty,0.0
2025-01-21,1071,1,196,48.45,4.31,1,Electronics,48.45
2025-12-20,1651,1,264,12.37,4.59,1,Toys,16.7
2025-03-21,1169,1,230,52.64,5.0,1,Toys,71.06
2025-04-24,1379,3,54,23.98,3.93,1,Toys,71.94
2025-07-19,799,2,101,53.81,4.34,1,Sports,107.62
2025-05-14,235,1,83,70.08,4.57,1,Electronics,94.61
2025-08-23,28,3,97,18.0,4.41,1,Home,54.0
2025-12-20,1216,2,2,36.83,4.38,1,Electronics,73.66
2025-07-04,1668,2,178,37.38,4.0,1,Electronics,74.76
2025-10-21,439,2,48,19.54,4.4,1,Sports,39.08
2025-02-15,1469,2,146,57.19,3.85,1,Home,114.38
2025-10-13,1150,1,69,17.16,4.61,1,Electronics,23.17
2025-10-18,87,2,268,32.6,4.5,1,Electronics,88.02
2025-12-25,526,3,127,12.71,4.06,1,Home,38.13
2025-03-02,1101,3,120,41.99,4.74,0,Home,0.0
2025-06-23,785,3,103,29.39,4.06,1,Sports,88.17
2025-12-29,1540,1,164,54.18,4.39,1,Toys,54.18
2025-01-10,1577,2,63,6.75,4.21,1,Home,13.5
2025-06-06,1489,3,18,31.15,3.66,1,Toys,93.45
2025-07-15,71,2,86,35.8,5.0,1,Electronics,96.66
2025-05-16,1797,3,42,66.05,4.08,1,Electronics,198.15
2025-02-12,79,1,138,39.57,4.69,1,Home,53.42
2025-10-08,740,2,23,41.45,4.77,1,Sports,111.92
2025-10-12,313,1,247,19.12,4.26,1,Electronics,19.12
2025-03-10,1116,1,66,6.0,4.06,1,Electronics,6.0
